,building,day,end,original_time,room,start
2222,MGH,MTWThF,620,930-1020,082A,570
2223,DEN,MTWThF,680,1030-1120,212,630
2224,DEN,MTWThF,800,1230-120,110,750
2225,BAG,MWF,800,1230-120,154,750
2226,DEN,MWF,740,1130-1220,112,690
2227,DEN,MWF,920,230-320,359,870
2228,THO,MWF,800,1230-120,101,750
2229,DEN,MWF,620,930-1020,359,570
2230,SMI,MWF,860,130-220,405,810
2231,SAV,Th,980,230-420,136,870
2232,DEN,T,980,230-420,210,870
2233,DEN,W,1040,230-520,256,870
2234,PAR,MTWThF,680,1030-1120,120,630
2235,PAR,MTWThF,740,1130-1220,120,690
2236,MGH,MTWThF,800,1230-120,278,750
2237,SIG,MTWTh,680,1030-1120,134,630
2238,EEB,F,620,930-1020,045,570
2239,MOR,F,620,930-1020,234,570
2240,MOR,F,680,1030-1120,234,630
2241,SAV,F,680,1030-1120,166,630
2242,SAV,TTh,620,830-1020,260,510
2243,SAV,F,560,830-920,132,510
2244,SAV,F,620,930-1020,156,570
2245,SAV,F,680,1030-1120,156,630
2246,MOR,TTh,740,1030-1220,220,630
2247,THO,MTWThF,860,130-220,125,810
2248,SMI,MW,1040,330-520,304,930
2249,SMI,M,920,130-320,203E,810
2250,GUG,TTh,800,1130-120,218,690
2251,MGH,MW,920,130-320,271,810
2252,RAI,MW,740,1030-1220,121,630
2253,DEN,F,740,1130-1220,113,690
2254,LOW,MW,1010,330-450,115,930
2255,SMI,MTWTh,560,830-920,115,510
2256,AND,TTh,920,130-320,008,810
2257,EXED,TTh,920,130-320,110,810
2258,SMI,M,1040,330-520,203E,930
2259,SAV,M,1040,330-520,169,930
2260,EEB,MW,620,830-1020,045,510
2261,SMI,Th,920,130-320,203E,810
2262,GWN,MW,740,1030-1220,201,630
2263,SAV,MW,920,130-320,136,810
2264,THO,TTh,620,830-1020,125,510
2265,LOW,T,1040,230-520,117,870
2266,SAV,T,1040,330-520,169,930
2267,LOW,T,1040,230-520,117,870
2268,MEB,W,1040,230-520,250,870
2269,GWN,TTh,920,130-320,201,810
2270,MGH,F,740,1130-1220,082A,690
2271,BAG,F,740,1130-1220,106,690
2272,MGH,F,800,1230-120,082A,750
2273,BAG,F,800,1230-120,106,750
2274,KNE,TTh,740,1030-1220,110,630
2275,MGH,F,620,930-1020,251,570
2276,JHN,F,680,1030-1120,102,630
2277,ARC,F,740,1130-1220,G070,690
2278,MGH,TTh,740,1030-1220,241,630
2279,SAV,MW,860,100-220,264,780
2280,SAV,F,740,1130-1220,131,690
2281,SAV,F,800,1230-120,162,750
2282,RAI,TTh,860,1230-220,121,750
2283,SMI,TTh,620,830-1020,211,510
2284,EEB,TTh,860,1230-220,031,750
2285,LOW,TTh,1040,330-520,206,930
2286,SMI,MTWTh,800,1230-120,205,750
2287,SAV,F,800,1230-120,168,750
2288,MGH,F,800,1230-120,284,750
2289,MGH,F,740,1130-1220,287,690
2290,MGH,F,740,1130-1220,254,690
2291,LOW,TTh,680,930-1120,106,570
2292,ART,TTh,1040,330-520,003,930
2293,CDH,TTh,680,1000-1120,109,600
2294,DEN,F,560,830-920,212,510
2295,MGH,F,560,830-920,242,510
2296,MGH,F,620,930-1020,238,570
2297,PAR,F,620,930-1020,313,570
2298,DEN,F,800,1230-120,112,750
2299,PAB,F,800,1230-120,B164,750
2300,RAI,MW,860,1230-220,121,750
2301,KNE,TTh,980,230-420,110,870
2302,ARC,F,620,930-1020,G070,570
2303,ARC,F,800,1230-120,G070,750
2304,JHN,F,860,130-220,022,810
2305,MEB,MW,860,1230-220,248,750
2306,SAV,W,860,1130-220,169,690
2307,LOW,MW,1010,330-450,115,930
2308,SMI,MW,860,1230-220,306,750
2309,PAR,TTh,920,130-320,120,810
2310,SMI,M,1040,230-520,306,870
2311,SMI,T,1040,330-520,203E,930
2312,SAV,M,680,930-1120,167,570
2313,SMI,T,1040,330-520,306,930
2314,SMI,T,920,130-320,203E,810
2315,SMI,W,920,130-320,203E,810
2316,SMI,MWF,620,930-1020,120,570
2317,SMI,M,680,1030-1120,415C,630
2318,SMI,M,740,1130-1220,415C,690
2319,SMI,M,800,1230-120,415C,750
2320,SMI,T,620,930-1020,415C,570
2321,SMI,T,680,1030-1120,415C,630
2322,SMI,T,740,1130-1220,415C,690
2323,ARC,MWF,800,1230-120,147,750
2324,SAV,TTh,560,830-920,164,510
2325,AND,TTh,800,1230-120,008,750
2326,DEN,TTh,800,1230-120,259,750
